 ,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,373.347,255,84.181,0.662,23.913,174,43,160.292,19.712,1.185,0.844,0.976
2,421.529,255,97.162,0.561,26.054,595,1,126.082,23.148,1.027,0.974,0.955
3,371.729,255,76.845,0.791,24.579,2736,38,168.434,18.704,1.269,0.788,0.975
4,406.338,255,99.751,0.513,29.497,1267,147,9.176,22.589,1.104,0.905,0.901
5,386.054,255,79.816,0.762,23.556,59,269,77.087,20.160,1.130,0.885,0.981
6,408.169,255,80.004,0.801,23.698,997,88,117.897,22.581,1.018,0.983,0.979
7,405.410,255,85.270,0.701,23.524,2546,202,13.772,22.409,1.020,0.980,0.972
8,419.572,255,91.410,0.631,24.056,356,169,160.131,23.101,1.005,0.995,0.971
9,408.382,255,84.828,0.713,23.519,780,150,119.373,22.863,1.013,0.987,0.976
10,392.351,255,79.644,0.777,23.212,2910,317,38.142,21.921,1.027,0.974,0.975
11,419.998,255,86.505,0.705,24.007,1166,302,24.532,23.151,1.003,0.997,0.975
12,428.277,255,86.505,0.719,24.061,173,361,35.910,23.256,1.002,0.998,0.975
13,498.837,255,103.056,0.590,26.169,2269,454,74.358,25.146,1.011,0.989,0.963
14,437.183,255,86.390,0.736,24.360,2723,435,48.541,23.399,1.010,0.990,0.979
15,453.177,255,90.252,0.699,24.795,2479,274,112.859,23.959,1.004,0.996,0.977
16,419.973,255,91.207,0.634,24.117,1707,277,93.195,22.997,1.011,0.989,0.963
17,393.744,255,79.950,0.774,23.127,1043,484,58.465,22.296,1.013,0.987,0.979
18,431.902,255,89.521,0.677,24.262,340,397,161.983,23.360,1.011,0.989,0.971
19,410.239,255,82.348,0.760,23.861,3074,335,105.798,22.941,1.015,0.985,0.962
20,421.516,255,83.527,0.759,24.106,1848,497,30.735,23.021,1.028,0.973,0.976
21,417.778,255,85.839,0.712,23.839,1274,430,125.632,22.808,1.037,0.964,0.973
22,429.481,255,88.270,0.693,24.337,220,415,101.413,23.608,1.027,0.974,0.964
23,458.107,255,94.218,0.648,25.110,1453,506,155.493,24.332,1.014,0.986,0.965
24,424.828,255,93.544,0.610,24.000,2638,644,74.018,23.296,1.013,0.987,0.973
25,452.525,255,93.804,0.646,24.802,530,519,163.202,23.855,1.010,0.990,0.973
26,456.263,255,97.599,0.602,24.959,2870,661,67.578,23.992,1.015,0.986,0.970
27,399.238,255,86.532,0.670,23.530,2314,529,159.667,22.535,1.010,0.990,0.971
28,408.709,255,99.463,0.519,24.113,1686,540,144.834,23.000,1.010,0.990,0.958
29,400.618,255,101.964,0.484,23.789,1036,499,101.680,23.232,1.009,0.991,0.934
30,408.872,255,123.110,0.339,24.645,413,546,101.004,23.637,1.056,0.947,0.896
31,417.239,255,92.532,0.612,23.988,3086,763,75.120,22.736,1.030,0.971,0.968
32,419.321,255,93.110,0.608,24.215,1924,756,52.706,23.040,1.014,0.986,0.966
33,441.474,255,105.980,0.494,24.811,1401,620,96.740,23.873,1.008,0.992,0.963
